iter	RMSE
0	4758.211687
1	4533.590552
2	4357.389811
3	4194.502901
4	4069.600537
5	3948.287939
6	3844.962509
7	3757.120509
8	3688.276392
9	3596.289027
10	3543.241916
11	3471.058027
12	3426.134091
13	3390.782296
14	3337.556969
15	3293.242808
16	3255.011868
17	3236.078352
18	3206.710104
19	3187.837345
20	3174.419516
21	3163.485853
22	3153.05911
23	3133.99304
24	3118.531488
25	3111.33777
26	3103.366743
27	3096.877716
28	3091.688218
29	3086.959295
30	3084.092983
31	3078.489885
32	3066.700609
33	3057.107766
34	3049.44518
35	3046.190771
36	3044.086057
37	3041.467537
38	3039.141691
39	3036.81077
40	3035.156921
41	3029.071064
42	3027.066012
43	3021.811804
44	3019.665639
45	3017.629878
46	3013.653191
47	3012.20114
48	3010.626126
49	3009.313936
50	3007.982918
51	3006.434885
52	3005.26004
53	3003.75696
54	3002.584761
55	3001.806739
56	3000.881683
57	2997.627514
58	2996.743626
59	2995.336335
60	2994.259721
61	2993.395339
62	2992.53595
63	2989.899905
64	2989.068058
65	2988.422478
66	2986.306622
67	2985.196021
68	2984.580016
69	2982.952677
70	2980.954551
71	2979.456425
72	2978.58339
73	2977.926502
74	2977.445063
75	2976.733929
76	2975.993542
77	2974.645599
78	2974.02363
79	2973.41337
80	2972.956734
81	2972.53698
82	2971.457208
83	2970.878604
84	2970.534225
85	2970.00501
86	2968.957162
87	2967.504233
88	2967.165955
89	2966.883471
90	2966.324218
91	2965.836346
92	2965.089196
93	2964.181598
94	2963.67515
95	2963.277912
96	2962.395438
97	2961.872697
98	2961.490675
99	2960.565182
100	2959.785957
101	2959.182003
102	2958.628644
103	2958.047111
104	2957.43667
105	2957.075362
106	2956.698466
107	2956.294888
108	2956.041554
109	2955.416073
110	2955.071071
111	2954.440733
112	2954.132407
113	2953.923388
114	2953.553206
115	2952.998571
116	2952.56499
117	2951.843402
118	2951.353482
119	2950.743454
120	2950.24632
121	2949.937539
122	2949.277414
123	2948.975639
124	2948.275278
125	2947.998025
126	2947.694608
127	2947.288668
128	2946.812098
129	2946.300828
130	2946.059672
131	2945.536068
132	2945.269324
133	2944.83097
134	2944.475247
135	2944.063349
136	2943.624668
137	2943.312916
138	2942.958138
139	2942.633365
140	2942.51211
141	2942.144495
142	2941.826984
143	2941.575795
144	2941.415579
145	2941.261591
146	2941.012522
147	2940.712092
148	2940.438539
149	2940.007096
150	2939.748086
151	2939.502838
152	2939.210941
153	2938.969786
154	2938.798279
155	2938.609853
156	2938.315352
157	2938.098322
158	2937.733412
159	2937.320042
160	2936.840362
161	2936.666366
162	2936.4437
163	2936.344671
164	2936.12244
165	2935.865225
166	2935.693313
167	2935.394071
168	2935.042868
169	2934.449232
170	2934.242547
171	2934.052001
172	2933.718692
173	2933.555983
174	2933.380262
