iter	Passed	Remaining
0	44	22100
1	82	20511
2	124	20591
3	166	20610
4	212	21023
5	255	21051
6	296	20911
7	334	20562
8	372	20297
9	408	20033
10	449	19983
11	488	19862
12	524	19640
13	562	19526
14	601	19462
15	640	19366
16	674	19175
17	712	19087
18	751	19018
19	788	18918
20	826	18861
21	865	18796
22	900	18675
23	941	18664
24	980	18637
25	1019	18590
26	1061	18597
27	1102	18591
28	1148	18658
29	1252	19618
30	1297	19622
31	1334	19521
32	1371	19408
33	1405	19266
34	1445	19204
35	1481	19098
36	1518	19000
37	1553	18886
38	1592	18821
39	1632	18774
40	1667	18673
41	1703	18578
42	1741	18507
43	1778	18427
44	1817	18379
45	1851	18276
46	1887	18193
47	1925	18132
48	1963	18070
49	1997	17975
50	2034	17911
51	2071	17851
52	2107	17770
53	2148	17741
54	2186	17689
55	2226	17653
56	2270	17642
57	2306	17574
58	2344	17521
59	2381	17461
60	2419	17414
61	2455	17350
62	2493	17294
63	2529	17235
64	2571	17211
65	2610	17167
66	2646	17105
67	2683	17045
68	2718	16983
69	2754	16922
70	2790	16862
71	2830	16828
72	2867	16771
73	2903	16714
74	2941	16669
75	2979	16619
76	3019	16590
77	3058	16545
78	3094	16489
79	3135	16458
80	3170	16400
81	3208	16356
82	3255	16353
83	3291	16303
84	3327	16245
85	3365	16200
86	3402	16151
87	3440	16106
88	3474	16045
89	3512	16000
90	3550	15959
91	3591	15925
92	3627	15874
93	3668	15845
94	3707	15807
95	3747	15771
96	3783	15718
97	3820	15670
98	3857	15626
99	3895	15583
100	3929	15524
101	3964	15467
102	4001	15423
103	4043	15397
104	4083	15363
105	4125	15333
106	4165	15299
107	4204	15260
108	4248	15239
109	4287	15201
110	4325	15158
111	4364	15119
112	4401	15075
113	4440	15036
114	4480	14998
115	4516	14951
116	4550	14895
117	4588	14855
118	4628	14818
119	4666	14777
120	4703	14731
121	4737	14679
122	4774	14633
123	4812	14592
124	4851	14553
125	4888	14510
126	4925	14466
127	4961	14419
128	5002	14386
129	5040	14345
130	5079	14308
131	5119	14273
132	5155	14226
133	5198	14198
134	5238	14163
135	5275	14119
136	5319	14094
137	5359	14059
138	5399	14024
139	5437	13981
140	5472	13933
141	5509	13890
142	5546	13846
143	5583	13802
